847,10
835,43
828,10
826,33
825,87
822,67
821,23
820,43
820,00
820,00
818,50
818,20
817,33
816,70
816,70
816,70
816,63
815,93
815,73
815,03
814,87
814,87
814,87
814,87
814,83
814,73
814,53
814,33
813,40
813,40
813,40
813,40
812,10
811,80
811,80
811,80
811,73
811,73
811,73
811,73
811,20
811,20
811,20
810,47
810,17
810,03
810,00
810,00
809,57
808,60
808,17
808,10
808,10
808,03
807,93
807,93
807,93
807,93
807,87
807,87
807,87
807,87
807,87
807,87
807,87
807,87
806,37
806,37
806,37
806,37
806,37
806,37
806,37
806,30
806,30
804,80
803,83
803,83
803,63
803,63
803,63
803,63
803,57
803,57
803,57
803,53
802,93
802,73
802,33
802,23
801,77
801,77
801,60
801,60
801,60
801,33
801,33
801,33
801,33
801,33
841,00
831,60
828,93
827,13
826,87
824,37
822,97
819,67
817,70
817,63
817,27
816,67
816,43
816,43
816,23
813,13
813,07
812,77
812,77
812,77
811,00
810,90
810,90
810,43
810,40
810,40
810,40
810,40
809,77
809,77
808,63
805,83
805,83
805,60
805,60
805,60
804,87
804,87
804,67
804,53
804,50
804,50
804,50
804,50
803,20
803,20
803,17
800,67
800,63
800,53
800,17
800,17
800,17
799,73
799,67
798,80
798,77
797,93
797,93
797,93
797,43
797,43
796,83
796,83
796,70
796,70
796,63
796,33
796,33
796,30
796,30
796,30
796,27
796,17
796,17
796,17
795,90
795,87
795,77
795,77
795,77
795,70
795,63
795,63
795,63
795,63
795,63
795,60
795,60
794,93
794,93
794,93
794,67
794,67
794,60
793,67
793,40
793,40
793,40
793,40
826,93
823,30
820,27
818,97
814,60
814,27
814,20
811,83
811,83
810,87
810,60
810,57
807,77
807,77
807,43
805,93
805,13
804,43
804,37
803,43
803,43
803,43
802,90
802,90
802,63
802,60
802,57
802,57
802,53
802,53
802,50
802,20
802,20
802,20
799,97
799,97
799,70
798,60
798,37
797,83
797,83
797,83
797,83
797,80
797,80
797,53
797,53
797,40
797,40
797,37
